ticker,last_synced_on,last_candle_date
MSFT,2026-09-05,2026-09-04
TCS.NS,2026-09-05,2026-09-04
INFY.NS,2026-09-05,2026-09-04
AAPL,2026-09-05,2026-09-04
TSLA,2026-09-05,2026-09-04
SPCX,2026-09-05,2026-09-04
RELIANCE.NS,2026-09-05,2026-09-04
GOOGL,2026-09-05,2026-09-04
AMZN,2026-09-05,2026-09-04
META,2026-09-05,2026-09-04
NVDA,2026-09-05,2026-09-04
JPM,2026-09-05,2026-09-04
V,2026-09-05,2026-09-04
JNJ,2026-09-05,2026-09-04
WMT,2026-09-05,2026-09-04
XOM,2026-09-05,2026-09-04
BRK-B,2026-09-05,2026-09-04
KO,2026-09-05,2026-09-04
PEP,2026-09-05,2026-09-04
PG,2026-09-05,2026-09-04
MA,2026-09-05,2026-09-04
HD,2026-09-05,2026-09-04
DIS,2026-09-05,2026-09-04
NFLX,2026-09-05,2026-09-04
ADBE,2026-09-05,2026-09-04
BAC,2026-09-05,2026-09-04
ORCL,2026-09-05,2026-09-04
AMD,2026-09-05,2026-09-04
HDFCBANK.NS,2026-09-05,2026-09-04
ICICIBANK.NS,2026-09-05,2026-09-04
HINDUNILVR.NS,2026-09-05,2026-09-04
SBIN.NS,2026-09-05,2026-09-04
BHARTIARTL.NS,2026-09-05,2026-09-04
WIPRO.NS,2026-09-05,2026-09-04
ITC.NS,2026-09-05,2026-09-04
KOTAKBANK.NS,2026-09-05,2026-09-04
LT.NS,2026-09-05,2026-09-04
AXISBANK.NS,2026-09-05,2026-09-04
MARUTI.NS,2026-09-05,2026-09-04
BAJFINANCE.NS,2026-09-05,2026-09-04
SUNPHARMA.NS,2026-09-05,2026-09-04
CRM,2026-09-05,2026-09-04
PFE,2026-09-05,2026-09-04
COST,2026-09-05,2026-09-04
NKE,2026-09-05,2026-09-04
INTC,2026-09-05,2026-09-04
CSCO,2026-09-05,2026-09-04
QCOM,2026-09-05,2026-09-04
TXN,2026-09-05,2026-09-04
UNH,2026-09-05,2026-09-04
MRK,2026-09-05,2026-09-04
ABBV,2026-09-05,2026-09-04
TMO,2026-09-05,2026-09-04
AVGO,2026-09-05,2026-09-04
PM,2026-09-05,2026-09-04
ABT,2026-09-05,2026-09-04
WFC,2026-09-05,2026-09-04
C,2026-09-05,2026-09-04
GS,2026-09-05,2026-09-04
MS,2026-09-05,2026-09-04
CAT,2026-09-05,2026-09-04
BA,2026-09-05,2026-09-04
GE,2026-09-05,2026-09-04
MCD,2026-09-05,2026-09-04
SBUX,2026-09-05,2026-09-04
PYPL,2026-09-05,2026-09-04
IBM,2026-09-05,2026-09-04
CVX,2026-09-05,2026-09-04
COP,2026-09-05,2026-09-04
AMGN,2026-09-05,2026-09-04
LLY,2026-09-05,2026-09-04
T,2026-09-05,2026-09-04
VZ,2026-09-05,2026-09-04
NOW,2026-09-05,2026-09-04
SHOP,2026-09-05,2026-09-04
UBER,2026-09-05,2026-09-04
ABNB,2026-09-05,2026-09-04
PLTR,2026-09-05,2026-09-04
ARM,2026-09-05,2026-09-04
COIN,2026-09-05,2026-09-04
TATAPOWER.NS,2026-09-05,2026-09-04
ONGC.NS,2026-09-05,2026-09-04
NTPC.NS,2026-09-05,2026-09-04
POWERGRID.NS,2026-09-05,2026-09-04
COALINDIA.NS,2026-09-05,2026-09-04
IOC.NS,2026-09-05,2026-09-04
BPCL.NS,2026-09-05,2026-09-04
TATASTEEL.NS,2026-09-05,2026-09-04
JSWSTEEL.NS,2026-09-05,2026-09-04
SAIL.NS,2026-09-05,2026-09-04
ADANIPORTS.NS,2026-09-05,2026-09-04
ADANIENT.NS,2026-09-05,2026-09-04
ASIANPAINT.NS,2026-09-05,2026-09-04
TITAN.NS,2026-09-05,2026-09-04
ULTRACEMCO.NS,2026-09-05,2026-09-04
GRASIM.NS,2026-09-05,2026-09-04
BRITANNIA.NS,2026-09-05,2026-09-04
DABUR.NS,2026-09-05,2026-09-04
EICHERMOT.NS,2026-09-05,2026-09-04
M&M.NS,2026-09-05,2026-09-04
BAJAJ-AUTO.NS,2026-09-05,2026-09-04
HEROMOTOCO.NS,2026-09-05,2026-09-04
TECHM.NS,2026-09-05,2026-09-04
HCLTECH.NS,2026-09-05,2026-09-04
DRREDDY.NS,2026-09-05,2026-09-04
CIPLA.NS,2026-09-05,2026-09-04
APOLLOHOSP.NS,2026-09-05,2026-09-04
DIVISLAB.NS,2026-09-05,2026-09-04
INDUSINDBK.NS,2026-09-05,2026-09-04
DMART.NS,2026-09-05,2026-09-04
TATACONSUM.NS,2026-09-05,2026-09-04
JIOFIN.NS,2026-09-05,2026-09-04
POLICYBZR.NS,2026-09-05,2026-09-04
SPY,2026-09-06,2026-09-04
